2014-07-03,206,1478,2014-07-03,10960,1508,2014-01-29,200,440,2013-12-30,13300,730,2013-09-27,15528,1496,2014-10-03,46376,12752,2014-11-07,278,434
2014-07-02,2402,4706,2014-07-02,5018,1206,2014-01-28,722,222,2013-12-27,496,310,2013-09-26,14078,156,2014-10-02,3708,6354,2014-11-06,1680,1738
2014-07-01,3226,3576,2014-07-01,16364,6480,2014-01-27,570,424,2013-12-26,632,864,2013-09-25,13142,3766,2014-10-01,1568,4718,2014-11-05,4546,820
2014-06-30,5650,7866,2014-06-30,3452,936,2014-01-24,5294,1592,2013-12-24,1254,416,2013-09-24,12448,1652,2014-09-30,3408,6364,2014-11-04,2144,952
2014-06-27,2098,11134,2014-06-27,4136,938,2014-01-23,5434,2818,2013-12-23,2684,3178,2013-09-23,3046,1346,2014-09-29,7802,10990,2014-11-03,5232,840
2014-06-26,6838,14136,2014-06-26,28308,2906,2014-01-22,686,564,2013-12-20,3626,1912,2013-09-20,21776,2730,2014-09-26,12788,14966,2014-10-31,12786,400
2014-06-25,7900,1454,2014-06-25,18314,5644,2014-01-21,2016,1484,2013-12-19,3034,6586,2013-09-19,4368,2088,2014-09-25,3364,11106,2014-10-30,2222,468
2014-06-24,1090,1720,2014-06-24,4738,6088,2014-01-17,4068,910,2013-12-18,10898,990,2013-09-18,9654,2928,2014-09-24,13512,20412,2014-10-29,3058,328
2014-06-23,6748,5708,2014-06-23,3170,3550,2014-01-16,2704,182,2013-12-17,5788,1792,2013-09-17,4490,1972,2014-09-23,16342,17370,2014-10-28,864,1068
2014-06-20,20664,12152,2014-06-20,12682,3586,2014-01-15,5886,78,2013-12-16,3418,3120,2013-09-16,1144,1486,2014-09-22,1172,2192,2014-10-27,2726,1154
2014-06-19,3666,5270,2014-06-19,33764,4084,2014-01-14,1728,286,2013-12-13,11550,14544,2013-09-13,2738,1236,2014-09-19,7816,1068,2014-10-24,8246,1252
2014-06-18,5484,5958,2014-06-18,3262,1386,2014-01-13,590,118,2013-12-12,8012,5906,2013-09-12,5226,4126,2014-09-18,3848,780,2014-10-23,18458,3720
2014-06-17,2834,7002,2014-06-17,1598,1658,2014-01-10,860,334,2013-12-11,1218,2022,2013-09-11,1790,3530,2014-09-17,3108,1554,2014-10-22,2786,1524
2014-06-16,24826,11332,2014-06-16,1422,1578,2014-01-09,5258,290,2013-12-10,7236,9820,2013-09-10,16764,1586,2014-09-16,2758,1584,2014-10-21,6706,1656
2014-06-13,3850,1394,2014-06-13,2226,2620,2014-01-08,3578,152,2013-12-09,3102,38844,2013-09-09,8926,6526,2014-09-15,2318,912,2014-10-20,28138,2656
2014-06-12,8078,9472,2014-06-12,1702,1288,2014-01-07,626,12,2013-12-06,4312,6018,2013-09-06,6066,4662,2014-09-12,1766,920,2014-10-17,4110,634
2014-06-11,7542,11506,2014-06-11,1844,2204,2014-01-06,322,378,2013-12-05,3354,824,2013-09-05,3076,3920,2014-09-11,1212,382,2014-10-16,4854,5200
2014-06-10,5086,1854,2014-06-10,2812,1536,2014-01-03,500,26,2013-12-04,3198,1214,2013-09-04,5634,1002,2014-09-10,716,1164,2014-10-15,5124,2822
2014-06-09,3350,4776,2014-06-09,3862,2656,2014-01-02,518,914,2013-12-03,1836,3402,2013-09-03,7356,5508,2014-09-09,2072,1654,2014-10-14,2584,3704
2014-06-06,10372,4546,2014-06-06,8204,3050,2013-12-31,296,120,2013-12-02,2918,1164,2013-08-30,3676,2850,2014-09-08,196,274,2014-10-13,2864,1948
2014-06-05,6234,12242,2014-06-05,6030,976,2013-12-30,430,142,2013-11-29,522,490,2013-08-29,17606,1080,2014-09-05,744,232,2014-10-10,6276,7394
2014-06-04,4846,6462,2014-06-04,31954,15172,2013-12-27,1234,132,2013-11-27,1304,1668,2013-08-28,578,754,2014-09-04,652,248,2014-10-09,2114,3638
2014-06-03,6278,14582,2014-06-03,2224,958,2013-12-26,112,156,2013-11-26,10354,978,2013-08-27,5932,3718,2014-09-03,248,632,2014-10-08,6378,1432
2014-06-02,32558,16826,2014-06-02,6542,1594,2013-12-24,168,102,2013-11-25,1724,1404,2013-08-26,1458,2228,2014-09-02,326,164,2014-10-07,1176,1134
2014-05-30,23376,25202,2014-05-30,3876,2320,2013-12-23,424,210,2013-11-22,2596,1048,2013-08-23,4662,2338,2014-08-29,458,312,2014-10-06,4494,14936
2014-05-29,11548,12904,2014-05-29,6814,1654,2013-12-20,3190,106,2013-11-21,11894,2278,2013-08-22,1604,7654,2014-08-28,458,290,2014-10-03,1762,626
2014-05-28,44564,39316,2014-05-28,1364,2146,2013-12-19,562,106,2013-11-20,2724,17700,2013-08-21,5388,2536,2014-08-27,1038,370,2014-10-02,2452,634
2014-05-27,18630,11942,2014-05-27,4670,2214,2013-12-18,280,56,2013-11-19,3914,1920,2013-08-20,3700,1832,2014-08-26,500,330,2014-10-01,3540,1228
2014-05-23,19670,11640,2014-05-23,2290,3262,2013-12-17,412,88,2013-11-18,3792,2812,2013-08-19,3848,1930,2014-08-25,1408,330,2014-09-30,1612,354
2014-05-22,14090,4908,2014-05-22,3180,4220,2013-12-16,464,20,2013-11-15,2812,1842,2013-08-16,2202,3006,2014-08-22,1132,1512,2014-09-29,230,522
2014-05-21,2256,2502,2014-05-21,3470,2100,2013-12-13,828,112,2013-11-14,5806,564,2013-08-15,20910,7514,2014-08-21,3050,1010,2014-09-26,724,1144
2014-05-20,8884,7620,2014-05-20,1958,2566,2013-12-12,336,8,2013-11-13,2296,2886,2013-08-14,6844,1660,2014-08-20,2644,2046,2014-09-25,690,732
2014-05-19,4750,1632,2014-05-19,1926,15110,2013-12-11,542,338,2013-11-12,2810,2594,2013-08-13,996,3754,2014-08-19,6734,3216,2014-09-24,1326,570
2014-05-16,13178,11952,2014-05-16,2384,4964,2013-12-10,326,182,2013-11-11,1842,468,2013-08-12,1190,436,2014-08-18,628,2476,2014-09-23,1646,752
2014-05-15,31050,21868,2014-05-15,7898,8328,2013-12-09,1058,794,2013-11-08,730,1166,2013-08-09,1892,528,2014-08-15,11628,2510,2014-09-22,1402,1670
2014-05-14,5076,11346,2014-05-14,8662,4020,2013-12-06,518,190,2013-11-07,3408,4586,2013-08-08,596,802,2014-08-14,346,462,2014-09-19,8290,798
2014-05-13,13208,17422,2014-05-13,7760,3232,2013-12-05,222,186,2013-11-06,8822,4366,2013-08-07,2522,648,2014-08-13,514,202,2014-09-18,1518,580
2014-05-12,11796,11674,2014-05-12,3142,2406,2013-12-04,186,176,2013-11-05,25400,9714,2013-08-06,3374,1906,2014-08-12,362,628,2014-09-17,11588,1010
2014-05-09,5408,20624,2014-05-09,38462,25414,2013-12-03,338,242,2013-11-04,14678,27494,2013-08-05,11118,11264,2014-08-11,604,360,2014-09-16,15222,884
2014-05-08,5082,2642,2014-05-08,33914,10932,2013-12-02,3658,300,2013-11-01,8570,7438,2013-08-02,3110,3522,2014-08-08,3320,966,2014-09-15,2250,1788
2014-05-07,6382,4482,2014-05-07,43702,15636,2013-11-29,2888,68,2013-10-31,1384,850,2013-08-01,3654,3710,2014-08-07,1266,1288,2014-09-12,9008,650
2014-05-06,6410,8940,2014-05-06,6070,2428,2013-11-27,292,72,2013-10-30,1940,2072,2013-07-31,4702,1184,2014-08-06,502,280,2014-09-11,938,1176
2014-05-05,1148,5018,2014-05-05,6716,1626,2013-11-26,2312,302,2013-10-29,290,786,2013-07-30,1326,2740,2014-08-05,456,290,2014-09-10,4068,138
2014-05-02,14886,21808,2014-05-02,5944,3710,2013-11-25,474,46,2013-10-28,3906,850,2013-07-29,856,644,2014-08-04,836,154,2014-09-09,5252,1024
2014-05-01,7404,6262,2014-05-01,2962,3072,2013-11-22,318,228,2013-10-25,1006,3056,2013-07-26,11662,5420,2014-08-01,732,316,2014-09-08,6834,870
2014-04-30,2458,3290,2014-04-30,6096,3036,2013-11-21,86,152,2013-10-24,2596,5516,2013-07-25,2130,214,2014-07-31,968,160,2014-09-05,2400,750
2014-04-29,13572,13308,2014-04-29,3248,14746,2013-11-20,698,264,2013-10-23,1394,1964,2013-07-24,254,2298,2014-07-30,808,1556,2014-09-04,1900,1052
2014-04-28,11160,15576,2014-04-28,14010,10254,2013-11-19,212,520,2013-10-22,4542,1000,2013-07-23,4324,4350,2014-07-29,2462,422,2014-09-03,860,1346
2014-04-25,13060,12444,2014-04-25,5210,3898,2013-11-18,874,636,2013-10-21,11888,5760,2013-07-22,6326,1464,2014-07-28,306,274,2014-09-02,1744,196
2014-04-24,6594,4594,2014-04-24,9808,8654,2013-11-15,7934,630,2013-10-18,5662,3270,2013-07-19,8474,4312,2014-07-25,270,48,2014-08-29,12346,894
2014-04-23,13592,25490,2014-04-23,16076,7802,2013-11-14,3742,1268,2013-10-17,11442,3174,2013-07-18,11772,2400,2014-07-24,932,164,2014-08-28,2588,692
2014-04-22,39848,36766,2014-04-22,7820,8950,2013-11-13,214,292,2013-10-16,2316,1236,2013-07-17,5510,1576,2014-07-23,3480,526,2014-08-27,3230,804
2014-04-21,16666,6374,2014-04-21,10818,6146,2013-11-12,180,64,2013-10-15,3390,7898,2013-07-16,51086,7260,2014-07-22,228,318,2014-08-26,15184,872
2014-04-17,9996,2604,2014-04-17,38948,9226,2013-11-11,716,674,2013-10-14,4304,1932,2013-07-15,4442,2898,2014-07-21,298,152,2014-08-25,17068,16384
2014-04-16,7288,1446,2014-04-16,37056,20190,2013-11-08,1810,2166,2013-10-11,2644,7382,2013-07-12,35842,18808,2014-07-18,916,566,2014-08-22,660,136
2014-04-15,13960,1118,2014-04-15,18034,2812,2013-11-07,3566,1812,2013-10-10,5000,3036,2013-07-11,5862,5932,2014-07-17,898,296,2014-08-21,8396,2756
2014-04-14,8742,2450,2014-04-14,9126,3716,2013-11-06,1114,440,2013-10-09,3424,1426,2013-07-10,842,1532,2014-07-16,680,782,2014-08-20,4130,406
2014-04-11,16878,2058,2014-04-11,14030,5398,2013-11-05,274,920,2013-10-08,2400,2388,2013-07-09,6238,4072,2014-07-15,702,682,2014-08-19,1552,384
2014-04-10,7962,1200,2014-04-10,3110,4418,2013-11-04,184,30,2013-10-07,2564,894,2013-07-08,9530,5910,2014-07-14,500,726,2014-08-18,5848,1020
2014-04-09,1376,850,2014-04-09,2790,7430,2013-11-01,70,140,2013-10-04,412,566,2013-07-05,5456,460,2014-07-11,880,216,2014-08-15,2380,2630
2014-04-08,2082,1558,2014-04-08,9680,5846,2013-10-31,526,154,2013-10-03,1376,5384,2013-07-03,3074,732,2014-07-10,2102,874,2014-08-14,398,632
2014-04-07,3044,3490,2014-04-07,5602,2892,2013-10-30,174,112,2013-10-02,1232,2042,2013-07-02,10016,7194,2014-07-09,2246,1644,2014-08-13,1806,962
2014-04-04,4632,1198,2014-04-04,8928,3586,2013-10-29,220,80,2013-10-01,4274,1348,2013-07-01,24570,10594,2014-07-08,1092,1256,2014-08-12,334,598
